h3,name,holc,access_min,access_km,street_m,access_src
8828301293fffff,Dylan Apartment Homes NW,,48.5,3.88,0.0,routed
8828301295fffff,Rodeo W,,11.0,0.88,4192.0,routed
8828301297fffff,Rodeo W 2,,19.0,1.52,0.0,routed
8828301299fffff,Hercules,,28.6,2.29,1666.0,routed
882830129bfffff,Hercules NW,,40.0,3.2,0.0,routed
882830129dfffff,Dylan Apartment Homes,,34.8,2.78,3920.0,routed
88283012a1fffff,Bayo Vista E 3,,52.3,4.18,344.0,routed
88283012a3fffff,Bayo Vista E 2,,51.0,4.08,1274.0,routed
88283012a5fffff,Valona S 2,,43.1,3.44,0.0,routed
88283012a7fffff,Valona SW,,65.0,5.2,0.0,routed
88283012a9fffff,Bayo Vista SE 2,,43.4,3.48,761.0,routed
88283012abfffff,Bayo Vista SE,,36.0,2.88,0.0,routed
88283012adfffff,Valona S 3,,66.8,5.34,0.0,routed
88283012b1fffff,Bayo Vista,,16.4,1.31,2534.0,routed
88283012b3fffff,Bayo Vista NW,,24.3,1.95,0.0,routed
88283012b5fffff,Bayo Vista NE,,42.6,3.41,1441.0,routed
88283012b7fffff,Bayo Vista N,,50.7,4.05,609.0,routed
88283012b9fffff,Rodeo,,7.4,0.59,12179.0,routed
88283012bbfffff,Bayo Vista W,,9.1,0.72,1379.0,routed
88283012bdfffff,Bayo Vista E,,17.7,1.42,630.0,routed
88283012c1fffff,Valley Oak Villas SE,,21.3,1.7,4590.0,routed
88283012c3fffff,Valley Oak Villas,,22.7,1.82,10167.0,routed
88283012c5fffff,Valley Oak Villas E 2,,13.7,1.09,7677.0,routed
88283012c7fffff,Valley Oak Villas E,,15.8,1.27,9299.0,routed
88283012c9fffff,Valley Oak Villas SE 2,,34.9,2.8,2758.0,routed
88283012cbfffff,Westwood SE,,28.8,2.3,3552.0,routed
88283012cdfffff,Valley Oak Villas SE 3,,21.7,1.73,371.0,routed
88283012d1fffff,Glenwood,,16.9,1.35,11980.0,routed
88283012d3fffff,Olympian Hills W,,23.4,1.87,8456.0,routed
88283012d5fffff,Forest Past,,11.9,0.95,7967.0,routed
88283012d7fffff,Olympian Hills,,30.6,2.45,10848.0,routed
88283012d9fffff,Westwood SW,,11.1,0.89,6243.0,routed
88283012dbfffff,Pinole,,6.3,0.5,8791.0,routed
88283012ddfffff,Westwood,,24.1,1.93,4941.0,routed
88283012e1fffff,Alexandria Victoria By the Bay E 4,,117.0,9.36,0.0,routed
88283012e3fffff,Alexandria Victoria By the Bay E 3,,41.2,3.29,981.0,routed
88283012e5fffff,Bayo Vista SE 4,,78.9,6.31,603.0,routed
88283012e7fffff,Bayo Vista SE 3,,124.7,9.98,634.0,routed
88283012e9fffff,Valley Oak Villas E 4,,23.7,1.9,3574.0,routed
88283012ebfffff,Valley Oak Villas E 3,,28.5,2.28,3440.0,routed
88283012edfffff,Valley Oak Villas E 5,,105.2,8.42,14.0,routed
8828301301fffff,Martinez S 2,,21.7,1.73,6831.0,routed
8828301303fffff,Martinez SW 2,,28.8,2.31,0.0,routed
8828301305fffff,Mountain View SW,,13.3,1.07,8292.0,routed
8828301307fffff,Martinez S,,7.7,0.61,8123.0,routed
8828301309fffff,Alhambra Valley N 3,,34.9,2.79,1202.0,routed
882830130bfffff,Martinez SW 5,,46.2,3.7,1708.0,routed
882830130dfffff,Mountain View SW 2,,20.7,1.66,6128.0,routed
8828301311fffff,Martinez W 3,,36.3,2.9,0.0,routed
8828301313fffff,Martinez W 5,,36.3,2.9,469.0,routed
8828301315fffff,Martinez SW 3,,25.0,2.0,0.0,routed
8828301317fffff,Martinez W 2,,26.6,2.13,0.0,routed
8828301319fffff,Martinez SW 7,,73.5,5.88,1388.0,routed
882830131bfffff,Martinez W 6,,122.3,9.79,817.0,routed
882830131dfffff,Martinez SW 4,,37.3,2.98,2522.0,routed
8828301321fffff,Mountain View E,,16.3,1.31,8660.0,routed
8828301323fffff,Mountain View N,,14.5,1.16,5998.0,routed
8828301325fffff,Vine Hill W,,30.7,2.46,4945.0,routed
8828301327fffff,Mountain View NE,,44.8,3.58,1975.0,routed
8828301329fffff,Mountain View S,,5.7,0.45,8968.0,routed
882830132bfffff,Mountain View,,15.8,1.27,11683.0,routed
882830132dfffff,Mountain View SE,,28.3,2.26,8403.0,routed
8828301331fffff,Martinez NW,,4.6,0.37,12075.0,routed
8828301333fffff,Martinez NW 2,,17.2,1.38,0.0,routed
8828301335fffff,Martinez NE,,14.0,1.12,4270.0,routed
8828301337fffff,Martinez N,,20.5,1.64,1283.0,routed
8828301339fffff,Martinez SW,,12.8,1.02,6786.0,routed
882830133bfffff,Martinez W,,9.7,0.78,1935.0,routed
882830133dfffff,Martinez,,6.3,0.51,13890.0,routed
8828301341fffff,Alhambra Valley NW,,72.9,5.83,2220.0,routed
