h3,pop,pct65,income,ac_est
88283089d1fffff,20.0,24.45,160000.0,69.34
88283089d3fffff,20.0,24.45,160000.0,69.34
88283089d5fffff,20.0,24.45,160000.0,69.34
88283089d7fffff,20.0,24.45,160000.0,69.34
88283089d9fffff,194.0,24.2,247361.92613393805,90.49
88283089dbfffff,60.0,24.26,225099.20210977268,86.7
88283089ddfffff,85.0,24.24,234432.16506370547,88.5
88283089e1fffff,98.0,22.7,250001.00000000003,94.72
88283089e3fffff,80.0,22.81,244760.1651494733,89.98
88283089e5fffff,98.0,22.7,250001.0,93.51
88283089e7fffff,98.0,22.7,250001.0,93.51
88283089e9fffff,98.0,22.7,250001.0,93.51
88283089ebfffff,98.0,22.7,250001.0,93.51
88283089edfffff,98.0,22.7,250001.00000000003,94.72
8828308a05fffff,27.0,30.16,176318.0,80.61
8828308a21fffff,143.0,30.16,176318.0,80.61
8828308a23fffff,201.0,14.17,241853.02891787622,89.58
8828308a25fffff,143.0,30.16,176318.0,80.61
8828308a27fffff,187.0,17.17,229583.93320055827,87.43
8828308a29fffff,143.0,30.16,176318.0,80.61
8828308a2bfffff,59.0,29.33,179737.09118169628,81.15
8828308a2dfffff,143.0,30.16,176318.0,80.61
8828308a31fffff,61.0,12.18,250001.0,93.51
8828308a33fffff,81.0,10.41,250000.99999999997,92.32
8828308a35fffff,214.0,11.91,250001.00000000003,94.72
8828308a37fffff,222.0,10.47,250001.0,93.51
